,Departing Port,Arriving Port,Month,Sectors Scheduled,Cancellations,Departures On Time,Arrivals On Time,Departures Delayed,Arrivals Delayed,Departure State,Arrival State
0,MELBOURNE,SUNSHINE COAST,January,30,0,7,7,7,7,Victoria,Queensland
1,SUNSHINE COAST,MELBOURNE,January,31,0,8,8,6,6,Queensland,Victoria
4,GOLD COAST,MELBOURNE,January,91,0,15,12,2,5,Queensland,Victoria
5,MELBOURNE,GOLD COAST,January,27,0,9,8,8,9,Victoria,Queensland
6,ADELAIDE,BRISBANE,January,30,0,28,25,3,6,South Australia,Queensland
7,ADELAIDE,GOLD COAST,January,104,0,29,30,6,5,South Australia,Queensland
8,ADELAIDE,MELBOURNE,January,25,4,71,73,41,39,South Australia,Victoria
9,ADELAIDE,PERTH,January,43,0,22,26,9,5,South Australia,Western Australia
10,ADELAIDE,SYDNEY,January,31,5,119,123,27,23,South Australia,New South Wales
11,BALLINA,SYDNEY,January,183,1,69,75,21,15,New South Wales,New South Wales
12,BRISBANE,ADELAIDE,January,82,0,24,26,7,5,Queensland,South Australia
13,BRISBANE,CAIRNS,January,43,2,69,72,31,28,Queensland,Queensland
14,BRISBANE,CANBERRA,January,152,0,15,17,16,14,Queensland,Australian Capital Territory
15,BRISBANE,DARWIN,January,62,0,22,21,3,4,Queensland,Northern Territory
16,BRISBANE,HOBART,January,104,1,32,31,11,12,Queensland,Tasmania
17,BRISBANE,LAUNCESTON,January,59,0,18,18,9,9,Queensland,Tasmania
18,BRISBANE,MACKAY,January,92,0,26,27,5,4,Queensland,Queensland
19,BRISBANE,MELBOURNE,January,25,10,116,113,88,91,Queensland,Victoria
20,BRISBANE,NEWCASTLE,January,26,0,48,47,10,11,Queensland,New South Wales
21,BRISBANE,PERTH,January,27,1,6,15,21,12,Queensland,Western Australia
22,BRISBANE,PROSERPINE,January,31,2,24,27,25,22,Queensland,Queensland
23,BRISBANE,SYDNEY,January,182,7,143,156,62,49,Queensland,New South Wales
24,BRISBANE,TOWNSVILLE,January,289,1,31,31,22,22,Queensland,Queensland
25,CAIRNS,BRISBANE,January,30,2,82,75,18,25,Queensland,Queensland
26,CAIRNS,MELBOURNE,January,43,2,76,69,42,49,Queensland,Victoria
27,CAIRNS,SYDNEY,January,214,2,97,91,22,28,Queensland,New South Wales
28,CANBERRA,BRISBANE,January,108,0,18,15,13,16,Australian Capital Territory,Queensland
29,CANBERRA,GOLD COAST,January,179,0,15,18,7,4,Australian Capital Territory,Queensland
30,CANBERRA,MELBOURNE,January,62,0,16,14,15,17,Australian Capital Territory,Victoria
31,DARWIN,BRISBANE,January,31,0,22,23,4,3,Northern Territory,Queensland
32,DARWIN,MELBOURNE,January,119,1,9,12,18,15,Northern Territory,Victoria
33,GOLD COAST,ADELAIDE,January,180,0,27,30,8,5,Queensland,South Australia
34,GOLD COAST,CANBERRA,January,60,0,14,15,8,7,Queensland,Australian Capital Territory
35,GOLD COAST,MELBOURNE,January,26,10,205,209,87,83,Queensland,Victoria
36,GOLD COAST,SYDNEY,January,180,9,218,232,67,53,Queensland,New South Wales
37,HAMILTON ISLAND,SYDNEY,January,211,1,13,15,7,5,Queensland,New South Wales
38,HOBART,BRISBANE,January,179,1,26,28,17,15,Tasmania,Queensland
39,HOBART,MELBOURNE,January,99,4,161,167,72,66,Tasmania,Victoria
